Institute Name,Program Name,State/All India Seats,Seat Pool,OPEN,OPEN-PwD,GEN-EWS,GEN-EWS-PwD,SC,SC-PwD,ST,ST-PwD,OBC-NCL,OBC-NCL-PwD,Total (includes Female Supernumerary),"Program-Total
                                            


Seat Capacity
                                            
Female Supernumerary",Program-Total
Seat Capacity,Female Supernumerary,,,,,,,,,,,,,,,
Seat Capacity,Female Supernumerary,,,,,,,,,,,,,,,
Indian Institute  of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,22,1,5,0,9,1,3,0,14,1,56,"68


0",0
68,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),5,0,1,0,1,0,1,0,4,0,"12 (including ""0"" Supernumerary)",,,,,
Indian Institute  of Technology Bhubaneswar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,22,1,4,0,8,0,4,0,14,1,54,"68


0",0
68,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),5,1,1,0,2,0,1,0,4,0,"14 (including ""0"" Supernumerary)",,,,,
Indian Institute  of Technology Bhubaneswar,"Electrical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,22,1,6,0,8,1,3,0,14,0,55,"68


0",0
68,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),5,1,1,0,1,0,1,0,4,0,"13 (including ""0"" Supernumerary)",,,,,
Indian Institute  of Technology Bhubaneswar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,18,1,3,0,7,0,3,0,11,1,44,"54


0",0
54,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),3,1,1,0,2,0,1,0,2,0,"10 (including ""0"" Supernumerary)",,,,,
Indian Institute  of Technology Bhubaneswar,"Mechanical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,21,0,5,1,9,0,3,0,14,1,54,"68


0",0
68,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),6,0,1,0,1,1,1,0,4,0,"14 (including ""0"" Supernumerary)",,,,,
Indian Institute  of Technology Bhubaneswar,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,8,1,1,0,3,0,1,0,6,1,21,"27


0",0
